MJ Guptill,(NZ),0
KS Williamson,(NZ),0
SPD Smith,(AUS),0
DA Warner,(AUS),0
JE Root,(ENG),0
HM Amla,(SA),0
AB de Villiers,(SA),0
F du Plessis,(SA),0
EJG Morgan,(ENG),0
Q de Kock,(SA),0
V Kohli,(INDIA),0
RG Sharma,(INDIA),0
AJ Finch,(AUS),0
JC Buttler,(ENG),0
TM Dilshan,(SL),0
AD Hales,(ENG),0
JJ Roy,(ENG),0
GJ Bailey,(AUS),0
LRPL Taylor,(NZ),0
RR Rossouw,(SA),0
S Dhawan,(INDIA),0
Azhar Ali,(PAK),0
MR Marsh,(AUS),0
HDRL Thirimanne,(SL),0
Sarfraz Ahmed,(PAK),0
GD Elliott,(NZ),0
MS Dhoni,(INDIA),0
LD Chandimal,(SL),0
AM Rahane,(INDIA),0
MN Samuels,(WI),0
Babar Azam,(PAK),0
BB McCullum,(NZ),3
GJ Maxwell,(AUS),3
TWM Latham,(NZ),0
BA Stokes,(ENG),0
AD Mathews,(SL),0
KC Sangakkara,(SL),0
DA Miller,(SA),0
Tamim Iqbal,(BDESH),0
MS Wade,(AUS),0
Mohammad Hafeez,(PAK),0
JWA Taylor,(ENG),0
Soumya Sarkar,(BDESH),0
Mushfiqur Rahim,(BDESH),0
JP Duminy,(SA),2
MDKJ Perera,(SL),2
L Ronchi,(NZ),2
CJ Anderson,(NZ),2
Shoaib Malik,(PAK),0
F Behardien,(SA),0
D Ramdin,(WI),2
JO Holder,(WI),2
Mahmudullah,(BDESH),0
Shakib Al Hasan,(BDESH),0
DM Bravo,(WI),4
TM Head,(AUS),2
SK Raina,(INDIA),2
Sabbir Rahman,(BDESH),2
IR Bell,(ENG),0
Ahmed Shehzad,(PAK),2
MM Ali,(ENG),2
BKG Mendis,(SL),0
CR Woakes,(ENG),2
MJ Santner,(NZ),2
J Charles,(WI),2
JM Bairstow,(ENG),0
Mohammad Rizwan,(PAK),2
UT Khawaja,(AUS),0
MD Gunathilaka,(SL),2
DPMD Jayawardene,(SL),0
Imrul Kayes,(BDESH),0
JDS Neesham,(NZ),0
SR Watson,(AUS),0
TAM Siriwardana,(SL),2
Misbah-ul-Haq,(PAK),0
AU Rashid,(ENG),0
Haris Sohail,(PAK),2
KA Pollard,(WI),2
C Munro,(NZ),0
AD Russell,(WI),3
NT Broom,(NZ),0
JP Faulkner,(AUS),2
JL Carter,(WI),4
HM Nicholls,(NZ),2
Sharjeel Khan,(PAK),3
CR Brathwaite,(WI),2
Imad Wasim,(PAK),0
E Lewis,(WI),0
DJG Sammy,(WI),2
DM de Silva,(SL),2
SE Marsh,(AUS),0
SS Pathirana,(SL),0
JW Hastings,(AUS),0
DR Smith,(WI),2
BJ Haddin,(AUS),3
MK Pandey,(INDIA),0
Nasir Hossain,(BDESH),2
WU Tharanga,(SL),2
Shahid Afridi,(PAK),3
MJ Clarke,(AUS),0
MJ Henry,(NZ),2
Wahab Riaz,(PAK),2
CH Gayle,(WI),2
TG Southee,(NZ),2
RA Jadeja,(INDIA),2
SW Billings,(ENG),0
KMDN Kulasekara,(SL),2
CH Morris,(SA),2
NLTC Perera,(SL),2
Mosaddek Hossain,(BDESH),0
LE Plunkett,(ENG),3
Mashrafe Mortaza,(BDESH),2
AR Patel,(INDIA),2
BM Duckett,(ENG),0
N Dickwella,(SL),0
AF Milne,(NZ),2
KC Brathwaite,(WI),4
Anwar Ali,(PAK),2
Umar Akmal,(PAK),2
JM Vince,(ENG),2
D Wiese,(SA),2
Liton Das,(BDESH),2
Saad Nasim,(PAK),0
ADS Fletcher,(WI),4
Sohaib Maqsood,(PAK),4
MN van Wyk,(SA),4
DL Vettori,(NZ),2
KM Jadhav,(INDIA),0
S Prasanna,(SL),2
Mohammad Nawaz (3),(PAK),2
K Rabada,(SA),4
DJ Willey,(ENG),4
FDM Karunaratne,(SL),4
SP Narine,(WI),2
AT Rayudu,(INDIA),4
Sami Aslam,(PAK),4
JA Burns,(AUS),4
MD Shanaka,(SL),2
SJ Benn,(WI),2
SD Hope,(WI),4
Younis Khan,(PAK),4
LMP Simmons,(WI),2
STR Binny,(INDIA),2
WD Parnell,(SA),4
Yasir Shah,(PAK),2
Mohammad Amir,(PAK),3
Nurul Hasan,(BDESH),0
AL Phehlukwayo,(SA),0
Imran Tahir,(SA),2
NL McCullum,(NZ),4
DW Steyn,(SA),2
JE Taylor,(WI),2
DAJ Bracewell,(NZ),4
BMAJ Mendis,(SL),2
SCJ Broad,(ENG),2
BM Wheeler,(NZ),3
RS Bopara,(ENG),4
MDK Perera,(SL),2
CJ Jordan,(ENG),2
MJ McClenaghan,(NZ),3
R Powell,(WI),3
N Deonarine,(WI),4
DSNFG Jayasuriya,(SL),4
B Kumar,(INDIA),4
A Zampa,(AUS),4
R Ashwin,(INDIA),4
M Morkel,(SA),4
MA Starc,(AUS),2
HH Pandya,(INDIA),2
BJ Watling,(NZ),4
KJ Abbott,(SA),4
TA Boult,(NZ),2
Harbhajan Singh,(INDIA),2
GH Worker,(NZ),0
RAS Lakmal,(SL),4
Mohammed Shami,(INDIA),2
AM Phangiso,(SA),4
MG Johnson,(AUS),2
NM Lyon,(AUS),0
VD Philander,(SA),4
MA Wood,(ENG),0
MF Maharoof,(SL),0
UT Yadav,(INDIA),4
SL Malinga,(SL),2
CK Kapugedera,(SL),4
KD Mills,(NZ),3
Anamul Haque,(BDESH),4
C de Grandhomme,(NZ),2
JT Ball,(ENG),3
DS Kulkarni,(INDIA),2
GS Ballance,(ENG),4
S Randiv,(SL),2
BAW Mendis,(SL),2
SMSM Senanayake,(SL),4
PVD Chameera,(SL),4
ST Finn,(ENG),1
DAS Gunaratne,(SL),2
CP Tremain,(AUS),4
Ehsan Adil,(PAK),4
LR Johnson,(WI),1
A Mishra,(INDIA),4
KW Richardson,(AUS),3
AP Devcich,(NZ),2
Fawad Alam,(PAK),4
SMA Priyanjan,(SL),4
MM Sharma,(INDIA),4
Arafat Sunny,(BDESH),4
NM Coulter-Nile,(AUS),2
JR Hazlewood,(AUS),2
Hasan Ali,(PAK),4
D Pretorius,(SA),2
Sohail Khan,(PAK),4
Zafar Gohar,(PAK),2
JM Anderson,(ENG),2
MC Henriques,(AUS),4
HMRKB Herath,(SL),4
Gurkeerat Singh,(INDIA),2
PJ Cummins,(AUS),1
R Dhawan,(INDIA),2
J Blackwood,(WI),4
LA Dawson,(ENG),2
N Pradeep,(SL),4
Bilawal Bhatti,(PAK),4
SM Boland,(AUS),4
Mohammad Irfan,(PAK),1
Mustafizur Rahman,(BDESH),1
Taskin Ahmed,(BDESH),1
LH Ferguson,(NZ),1
Iftikhar Ahmed,(PAK),1
Rahat Ali,(PAK),1
Mosharraf Hossain,(BDESH),4
AR Nurse,(WI),2
AK Perera,(SL),4
RJW Topley,(ENG),1
JDF Vandersay,(SL),4
MA Aponso,(SL),4
ST Gabriel,(WI),1
Rubel Hossain,(BDESH),1
IS Sodhi,(NZ),1
Umar Gul,(PAK),3
DJ Worrall,(AUS),3
AC Agar,(AUS),1
D Elgar,(SA),3
RMS Eranga,(SL),3
Jubair Hossain,(BDESH),4
Tanbir Hayder,(BDESH),1
Junaid Khan,(PAK),4
JN Mohammed,(WI),4
MP Stoinis,(AUS),2
SS Cottrell,(WI),1
R Rampaul,(WI),4
Bilal Asif,(PAK),1
AS Joseph,(WI),1
JL Pattinson,(AUS),1
KTGD Prasad,(SL),1
KMC Bandara,(SL),1
JM Mennie,(AUS),1
Mominul Haque,(BDESH),1
Subashis Roy,(BDESH),1
J Yadav,(INDIA),2
Zulfiqar Babar,(PAK),1
JJ Bumrah,(INDIA),1
XJ Doherty,(AUS),1
WIA Fernando,(SL),1
PHT Kaushal,(SL),1
AW Mathieson,(NZ),1
Nasir Jamshed,(PAK),1
KAJ Roach,(WI),1
Saeed Ajmal,(PAK),1
Shafiul Islam,(BDESH),1
T Shamsi,(SA),1
I Sharma,(INDIA),1
CL White,(AUS),1
Abul Hasan,(BDESH),1
M de Lange,(SA),1
PLS Gamage,(SL),1
JS Paris,(AUS),1
JS Patel,(NZ),1
PADLR Sandakan,(SL),1
GS Sandhu,(AUS),1
BB Sran,(INDIA),1
Taijul Islam,(BDESH),1
